total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
3,3,2,MEDRANO VILLA Rony David,NA,2004-12-03,NA,NA,A,89 kg Men,0,0,523,115,-120,-120,115,-146,146,152,152,267
4,4,4,CALERO CABALLERO Edison Yoseth,NA,2005-06-06,NA,NA,A,89 kg Men,0,0,523,105,-110,110,110,130,135,140,140,250
5,5,5,MARTIN JR Kyle Justin,NA,2006-10-16,NA,NA,A,89 kg Men,0,0,523,102,106,109,109,137,-142,-142,137,246
6,6,6,HANSON Gedeon Virgel,NA,2005-02-03,NA,NA,A,89 kg Men,0,0,523,83,-86,-87,83,90,-95,95,95,178
7,7,7,MIRANDA LARA Felipe Antonio,NA,2007-04-07,NA,NA,A,89 kg Men,0,0,523,65,70,-75,70,85,90,-95,90,160
1,1,1,DAVIS JR Timothy Allen,NA,2004-02-17,NA,NA,A,96 kg Men,0,0,523,125,130,137,137,156,-163,164,164,301
2,2,3,REIS Colin James,NA,2004-01-13,NA,NA,A,96 kg Men,0,0,523,117,122,126,126,155,162,-170,162,288
3,3,2,MEDINA CONTRERAS Pablo,NA,2005-11-03,NA,NA,A,96 kg Men,0,0,523,120,-125,-125,120,150,157,163,163,283
4,4,4,DIJKHOFF Jeremy Vince,NA,2004-07-15,NA,NA,A,96 kg Men,0,0,523,108,112,-115,112,132,137,-140,137,249
5,5,5,AGRAZAL MARTINEZ Angel Antonio,NA,2004-01-10,NA,NA,A,96 kg Men,0,0,523,-108,108,-113,108,125,130,-138,130,238
6,6,6,ACEVEDO PEREZ Felix Xavier,NA,2004-05-17,NA,NA,A,96 kg Men,0,0,523,90,96,101,101,113,120,-125,120,221
